mean,sigma,scale
-0.010599961927453267,0.00040297368258791137,0.0020032123953846142
0.003065353755980551,0.0004586598936208065,0.002124695513854195
0.01663224008501631,0.0004160948120311922,0.0020633572531148885
0.02552399402089497,0.00043513969526754457,0.002089936997974153
0.03914748885123219,0.0004582331600196799,0.0021155520536397655
0.05286642407893566,0.00043625745901115494,0.0021217634326935824
0.06110080208475407,0.00043040051118280274,0.002077076138966573
0.0747898249168444,0.0004219124966468496,0.0020753556857263304
