mean,sigma,scale
-0.04046403276807661,0.0012714845988580103,0.00028262167217148697
-0.030399815743939344,0.0013332763054172045,0.00029842261237710596
-0.02018957803069138,0.0013107396688783622,0.0002915922311085627
-0.007477526835142828,0.001295194205487788,0.00028457287097444754
0.0026747047942329,0.0013097973764043876,0.0002934803231452159
0.012771829222253436,0.0012732770823093338,0.0002852273223366612
0.02092202471975635,0.0012754983861532267,0.00028474658524170753
0.031018563687097742,0.0013236094773796322,0.00029592823747225165
0.04125524858403639,0.0013107632654830008,0.0002876205580873189
