Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.01,
Sample Interval,8e-07,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH2,CH2 Peak Detect
-4.02784e-02,0.014,0.026
-4.02776e-02,0.014,0.002
-4.02768e-02,0.01,0.022
-4.02760e-02,0.018,-0.002
-4.02752e-02,0.002,0.022
-4.02744e-02,0.018,-0.002
-4.02736e-02,0.014,0.026
-4.02728e-02,0.01,-0.01
-4.02720e-02,0.014,0.038
-4.02712e-02,0.014,0.002
-4.02704e-02,0.014,0.022
-4.02696e-02,0.01,0.002
-4.02688e-02,0.014,0.022
-4.02680e-02,0.018,0.002
-4.02672e-02,-0.006,0.026
-4.02664e-02,0.014,-0.01
-4.02656e-02,0.014,0.026
-4.02648e-02,0.01,-0.006
-4.02640e-02,0.01,0.03
-4.02632e-02,0.006,-0.002
-4.02624e-02,0.014,0.022
-4.02616e-02,0.014,-0.002
-4.02608e-02,0.01,0.022
-4.02600e-02,0.01,0.002
-4.02592e-02,0.002,0.022
-4.02584e-02,0.01,-0.006
-4.02576e-02,0.018,0.034
-4.02568e-02,0.01,-0.002
-4.02560e-02,0.01,0.026
-4.02552e-02,0.01,-0.002
-4.02544e-02,0.006,0.022
-4.02536e-02,0.01,-0.002
-4.02528e-02,0.014,0.018
-4.02520e-02,0.01,-0.002
-4.02512e-02,0.006,0.022
-4.02504e-02,0.01,-0.006
-4.02496e-02,0.014,0.034
-4.02488e-02,0.014,0.002
-4.02480e-02,0.006,0.022
-4.02472e-02,0.006,0.002
-4.02464e-02,0.018,0.022
-4.02456e-02,0.014,-0.002
-4.02448e-02,0.006,0.026
-4.02440e-02,0.006,-0.002
-4.02432e-02,0.006,0.022
-4.02424e-02,0.006,-0.006
-4.02416e-02,0.018,0.034
-4.02408e-02,0.01,0.002
-4.02400e-02,0.014,0.022
-4.02392e-02,0.018,-0.002
-4.02384e-02,0.018,0.022
-4.02376e-02,0.014,0.002
-4.02368e-02,0.006,0.022
-4.02360e-02,0.014,-0.006
-4.02352e-02,0.01,0.03
-4.02344e-02,0.018,-0.006
-4.02336e-02,0.01,0.03
-4.02328e-02,0.01,-0.002
-4.02320e-02,0.006,0.026
-4.02312e-02,0.01,-0.002
-4.02304e-02,0.01,0.022
-4.02296e-02,0.014,-0.006
-4.02288e-02,0.01,0.022
-4.02280e-02,0.01,-0.002
-4.02272e-02,0.014,0.022
-4.02264e-02,0.014,-0.01
-4.02256e-02,0.014,0.034
-4.02248e-02,0.014,-0.002
-4.02240e-02,0.014,0.026
-4.02232e-02,0.01,0.002
-4.02224e-02,0.018,0.026
-4.02216e-02,0.014,0.002
-4.02208e-02,0.014,0.022
-4.02200e-02,0.01,0.002
-4.02192e-02,0.014,0.026
-4.02184e-02,0.006,-0.006
-4.02176e-02,0.014,0.034
-4.02168e-02,0.01,0.002
-4.02160e-02,0.01,0.022
-4.02152e-02,0.01,0.002
-4.02144e-02,0.006,0.026
-4.02136e-02,0.014,0.002
-4.02128e-02,0.018,0.026
-4.02120e-02,0.014,0.002
-4.02112e-02,0.022,0.022
-4.02104e-02,0.01,-0.002
-4.02096e-02,0.018,0.042
-4.02088e-02,0.018,0.002
-4.02080e-02,0.014,0.026
-4.02072e-02,0.018,0.002
-4.02064e-02,0.01,0.026
-4.02056e-02,0.018,-0.002
-4.02048e-02,0.014,0.026
-4.02040e-02,0.01,0.002
-4.02032e-02,0.018,0.026
-4.02024e-02,0.014,-0.006
-4.02016e-02,0.018,0.038
-4.02008e-02,0.014,-0.002
-4.02000e-02,0.018,0.022
-4.01992e-02,0.014,0.002
-4.01984e-02,0.014,0.026
-4.01976e-02,0.01,-0.002
-4.01968e-02,0.014,0.022
-4.01960e-02,0.018,-0.002
-4.01952e-02,0.01,0.022
-4.01944e-02,0.014,-0.01
-4.01936e-02,0.01,0.038
-4.01928e-02,0.014,0.002
-4.01920e-02,0.01,0.022
-4.01912e-02,0.01,0.002
-4.01904e-02,0.01,0.022
-4.01896e-02,0.01,0.002
-4.01888e-02,0.014,0.022
-4.01880e-02,0.018,0.002
-4.01872e-02,0.014,0.026
-4.01864e-02,0.014,-0.006
-4.01856e-02,0.022,0.03
-4.01848e-02,0.01,0.002
-4.01840e-02,0.014,0.026
-4.01832e-02,0.014,0.006
-4.01824e-02,0.014,0.026
-4.01816e-02,0.018,0.006
-4.01808e-02,0.018,0.026
-4.01800e-02,0.026,0.002
-4.01792e-02,0.014,0.026
-4.01784e-02,0.018,-0.002
-4.01776e-02,0.018,0.038
-4.01768e-02,0.006,0.002
-4.01760e-02,0.018,0.026
-4.01752e-02,0.01,0.002
-4.01744e-02,0.014,0.03
-4.01736e-02,0.018,0.002
-4.01728e-02,0.01,0.026
-4.01720e-02,0.006,0.002
-4.01712e-02,0.006,0.026
-4.01704e-02,0.014,-0.006
-4.01696e-02,0.022,0.034
-4.01688e-02,0.014,0.002
-4.01680e-02,0.014,0.026
-4.01672e-02,0.01,0.002
-4.01664e-02,0.01,0.026
-4.01656e-02,0.014,0.002
-4.01648e-02,0.014,0.026
-4.01640e-02,0.026,0.002
-4.01632e-02,0.022,0.026
-4.01624e-02,0.018,-0.014
-4.01616e-02,0.018,0.034
-4.01608e-02,0.01,0.006
-4.01600e-02,0.014,0.026
-4.01592e-02,0.014,0.006
-4.01584e-02,0.014,0.026
-4.01576e-02,0.014,-0.002
-4.01568e-02,0.018,0.026
-4.01560e-02,0.014,0.002
-4.01552e-02,0.01,0.026
-4.01544e-02,0.014,-0.006
-4.01536e-02,0.018,0.038
-4.01528e-02,0.014,0.002
-4.01520e-02,0.014,0.022
-4.01512e-02,0.014,0.006
-4.01504e-02,0.014,0.03
-4.01496e-02,0.018,0.006
-4.01488e-02,0.018,0.026
-4.01480e-02,0.018,0.002
-4.01472e-02,0.018,0.03
-4.01464e-02,0.018,-0.006
-4.01456e-02,0.022,0.038
-4.01448e-02,0.018,0.002
-4.01440e-02,0.014,0.026
-4.01432e-02,0.014,0.006
-4.01424e-02,0.018,0.026
-4.01416e-02,0.01,0.006
-4.01408e-02,0.014,0.026
-4.01400e-02,0.014,0.002
-4.01392e-02,0.014,0.03
-4.01384e-02,0.022,-0.002
-4.01376e-02,0.018,0.034
-4.01368e-02,0.01,0.002
-4.01360e-02,0.014,0.03
-4.01352e-02,0.018,0.002
-4.01344e-02,0.018,0.03
-4.01336e-02,0.014,0.002
-4.01328e-02,0.018,0.026
-4.01320e-02,0.01,0.006
-4.01312e-02,0.018,0.026
-4.01304e-02,0.014,-0.002
-4.01296e-02,0.014,0.038
-4.01288e-02,0.018,-0.002
-4.01280e-02,0.018,0.026
-4.01272e-02,0.018,0.002
-4.01264e-02,0.006,0.03
-4.01256e-02,0.014,0.002
-4.01248e-02,0.018,0.026
-4.01240e-02,0.01,0.002
-4.01232e-02,0.014,0.026
-4.01224e-02,0.014,-0.006
-4.01216e-02,0.022,0.034
-4.01208e-02,0.014,0.006
-4.01200e-02,0.018,0.026
-4.01192e-02,0.014,0.006
-4.01184e-02,0.014,0.026
-4.01176e-02,0.022,0.002
-4.01168e-02,0.022,0.03
-4.01160e-02,0.014,0.006
-4.01152e-02,0.014,0.026
-4.01144e-02,0.014,-0.006
-4.01136e-02,0.01,0.042
-4.01128e-02,0.022,0.006
-4.01120e-02,0.014,0.03
-4.01112e-02,0.014,0.006
-4.01104e-02,0.018,0.03
-4.01096e-02,0.014,0.006
-4.01088e-02,0.006,0.026
-4.01080e-02,0.018,0.006
-4.01072e-02,0.014,0.03
-4.01064e-02,0.022,0.002
-4.01056e-02,0.014,0.038
-4.01048e-02,0.018,0.002
-4.01040e-02,0.022,0.03
-4.01032e-02,0.018,0.01
-4.01024e-02,0.014,0.03
-4.01016e-02,0.018,0.006
-4.01008e-02,0.01,0.034
-4.01000e-02,0.018,0.006
-4.00992e-02,0.018,0.034
-4.00984e-02,0.022,-0.006
-4.00976e-02,0.022,0.034
-4.00968e-02,0.014,0.006
-4.00960e-02,0.014,0.03
-4.00952e-02,0.018,0.002
-4.00944e-02,0.01,0.03
-4.00936e-02,0.014,0.002
-4.00928e-02,0.01,0.026
-4.00920e-02,0.022,-0.006
-4.00912e-02,0.014,0.038
-4.00904e-02,0.018,-0.006
-4.00896e-02,0.022,0.034
-4.00888e-02,0.01,0.002
-4.00880e-02,0.014,0.026
-4.00872e-02,0.01,0.006
-4.00864e-02,0.014,0.026
-4.00856e-02,0.018,0.006
-4.00848e-02,0.014,0.034
-4.00840e-02,0.018,-0.002
-4.00832e-02,0.018,0.034
-4.00824e-02,0.022,0.006
-4.00816e-02,0.022,0.03
-4.00808e-02,0.022,0.01
-4.00800e-02,0.022,0.03
-4.00792e-02,0.022,0.006
-4.00784e-02,0.018,0.03
-4.00776e-02,0.018,0.006
-4.00768e-02,0.018,0.03
-4.00760e-02,0.018,-0.002
-4.00752e-02,0.022,0.042
-4.00744e-02,0.018,0.006
-4.00736e-02,0.022,0.034
-4.00728e-02,0.018,0.01
-4.00720e-02,0.018,0.03
-4.00712e-02,0.014,0.006
-4.00704e-02,0.026,0.03
-4.00696e-02,0.026,0.002
-4.00688e-02,0.018,0.03
-4.00680e-02,0.022,0.002
-4.00672e-02,0.018,0.038
-4.00664e-02,0.018,0.006
-4.00656e-02,0.018,0.03
-4.00648e-02,0.018,0.006
-4.00640e-02,0.022,0.03
-4.00632e-02,0.022,0.006
-4.00624e-02,0.022,0.034
-4.00616e-02,0.026,0.006
-4.00608e-02,0.018,0.03
-4.00600e-02,0.022,-0.002
-4.00592e-02,0.014,0.038
-4.00584e-02,0.018,0.006
-4.00576e-02,0.022,0.034
-4.00568e-02,0.014,0.01
-4.00560e-02,0.022,0.03
-4.00552e-02,0.018,0.01
-4.00544e-02,0.014,0.034
-4.00536e-02,0.022,0.006
-4.00528e-02,0.022,0.03
-4.00520e-02,0.018,-0.002
-4.00512e-02,0.022,0.046
-4.00504e-02,0.022,0.006
-4.00496e-02,0.022,0.034
-4.00488e-02,0.022,0.006
-4.00480e-02,0.022,0.03
-4.00472e-02,0.014,0.01
-4.00464e-02,0.03,0.034
-4.00456e-02,0.026,0.01
-4.00448e-02,0.026,0.03
-4.00440e-02,0.014,0.002
-4.00432e-02,0.022,0.042
-4.00424e-02,0.022,0.01
-4.00416e-02,0.026,0.03
-4.00408e-02,0.022,0.01
-4.00400e-02,0.022,0.03
-4.00392e-02,0.026,0.01
-4.00384e-02,0.018,0.034
-4.00376e-02,0.03,0.01
-4.00368e-02,0.026,0.034
-4.00360e-02,0.022,0.006
-4.00352e-02,0.018,0.042
-4.00344e-02,0.022,0.01
-4.00336e-02,0.018,0.034
-4.00328e-02,0.022,0.01
-4.00320e-02,0.018,0.034
-4.00312e-02,0.03,0.01
-4.00304e-02,0.022,0.034
-4.00296e-02,0.026,0.01
-4.00288e-02,0.018,0.034
-4.00280e-02,0.022,0.002
-4.00272e-02,0.022,0.042
-4.00264e-02,0.014,0.01
-4.00256e-02,0.022,0.034
-4.00248e-02,0.022,0.01
-4.00240e-02,0.03,0.034
-4.00232e-02,0.022,0.01
-4.00224e-02,0.026,0.034
-4.00216e-02,0.026,0.014
-4.00208e-02,0.018,0.034
-4.00200e-02,0.022,0.006
-4.00192e-02,0.022,0.042
-4.00184e-02,0.018,0.01
-4.00176e-02,0.022,0.034
-4.00168e-02,0.026,0.01
-4.00160e-02,0.026,0.034
-4.00152e-02,0.026,0.01
-4.00144e-02,0.022,0.034
-4.00136e-02,0.034,0.01
-4.00128e-02,0.022,0.034
-4.00120e-02,0.018,0.002
-4.00112e-02,0.026,0.042
-4.00104e-02,0.026,0.01
-4.00096e-02,0.018,0.03
-4.00088e-02,0.026,0.01
-4.00080e-02,0.022,0.03
-4.00072e-02,0.022,0.01
-4.00064e-02,0.03,0.042
-4.00056e-02,0.03,0.014
-4.00048e-02,0.014,0.034
-4.00040e-02,0.018,0.006
-4.00032e-02,0.022,0.046
-4.00024e-02,0.03,0.01
-4.00016e-02,0.018,0.034
-4.00008e-02,0.03,0.014
-4.00000e-02,0.018,0.034
-3.99992e-02,0.014,0.014
-3.99984e-02,0.022,0.038
-3.99976e-02,0.022,0.014
-3.99968e-02,0.018,0.034
-3.99960e-02,0.022,0.002
-3.99952e-02,0.026,0.046
-3.99944e-02,0.022,0.014
-3.99936e-02,0.026,0.038
-3.99928e-02,0.022,0.014
-3.99920e-02,0.018,0.034
-3.99912e-02,0.018,0.01
-3.99904e-02,0.022,0.034
-3.99896e-02,0.022,0.01
-3.99888e-02,0.026,0.038
-3.99880e-02,0.034,0.002
-3.99872e-02,0.026,0.05
-3.99864e-02,0.026,0.014
-3.99856e-02,0.026,0.034
-3.99848e-02,0.026,0.01
-3.99840e-02,0.022,0.038
-3.99832e-02,0.026,0.01
-3.99824e-02,0.022,0.038
-3.99816e-02,0.022,0.014
-3.99808e-02,0.014,0.038
-3.99800e-02,0.026,0.006
-3.99792e-02,0.026,0.042
-3.99784e-02,0.022,0.014
-3.99776e-02,0.022,0.038
-3.99768e-02,0.026,0.014
-3.99760e-02,0.026,0.042
-3.99752e-02,0.026,0.018
-3.99744e-02,0.03,0.038
-3.99736e-02,0.022,0.014
-3.99728e-02,0.022,0.038
-3.99720e-02,0.026,0.006
-3.99712e-02,0.026,0.05
-3.99704e-02,0.034,0.014
-3.99696e-02,0.026,0.042
-3.99688e-02,0.034,0.018
-3.99680e-02,0.026,0.042
-3.99672e-02,0.03,0.018
-3.99664e-02,0.022,0.038
-3.99656e-02,0.026,0.018
-3.99648e-02,0.026,0.038
-3.99640e-02,0.03,0.006
-3.99632e-02,0.03,0.046
-3.99624e-02,0.034,0.018
-3.99616e-02,0.03,0.042
-3.99608e-02,0.03,0.018
-3.99600e-02,0.03,0.042
-3.99592e-02,0.026,0.018
-3.99584e-02,0.022,0.038
-3.99576e-02,0.018,0.014
-3.99568e-02,0.022,0.038
-3.99560e-02,0.03,0.006
-3.99552e-02,0.026,0.042
-3.99544e-02,0.026,0.018
-3.99536e-02,0.034,0.042
-3.99528e-02,0.03,0.018
-3.99520e-02,0.026,0.042
-3.99512e-02,0.022,0.018
-3.99504e-02,0.022,0.042
-3.99496e-02,0.026,0.018
-3.99488e-02,0.026,0.038
-3.99480e-02,0.026,0.01
-3.99472e-02,0.026,0.054
-3.99464e-02,0.03,0.018
-3.99456e-02,0.03,0.038
-3.99448e-02,0.03,0.014
-3.99440e-02,0.034,0.042
-3.99432e-02,0.034,0.018
-3.99424e-02,0.022,0.042
-3.99416e-02,0.034,0.018
-3.99408e-02,0.026,0.046
-3.99400e-02,0.034,0.01
-3.99392e-02,0.03,0.054
-3.99384e-02,0.026,0.018
-3.99376e-02,0.03,0.042
-3.99368e-02,0.03,0.022
-3.99360e-02,0.034,0.042
-3.99352e-02,0.03,0.018
-3.99344e-02,0.022,0.042
-3.99336e-02,0.034,0.022
-3.99328e-02,0.038,0.046
-3.99320e-02,0.034,0.014
-3.99312e-02,0.038,0.054
-3.99304e-02,0.022,0.022
-3.99296e-02,0.034,0.042
-3.99288e-02,0.03,0.022
-3.99280e-02,0.034,0.046
-3.99272e-02,0.034,0.022
-3.99264e-02,0.022,0.042
-3.99256e-02,0.038,0.01
-3.99248e-02,0.03,0.058
-3.99240e-02,0.034,0.01
-3.99232e-02,0.046,0.05
-3.99224e-02,0.034,0.022
-3.99216e-02,0.034,0.046
-3.99208e-02,0.034,0.022
-3.99200e-02,0.03,0.046
-3.99192e-02,0.038,0.018
-3.99184e-02,0.03,0.046
-3.99176e-02,0.034,0.018
-3.99168e-02,0.034,0.058
-3.99160e-02,0.026,0.022
-3.99152e-02,0.038,0.05
-3.99144e-02,0.03,0.022
-3.99136e-02,0.038,0.046
-3.99128e-02,0.034,0.022
-3.99120e-02,0.03,0.046
-3.99112e-02,0.034,0.022
-3.99104e-02,0.026,0.05
-3.99096e-02,0.038,0.014
-3.99088e-02,0.03,0.05
-3.99080e-02,0.034,0.022
-3.99072e-02,0.034,0.046
-3.99064e-02,0.038,0.022
-3.99056e-02,0.034,0.046
-3.99048e-02,0.034,0.022
-3.99040e-02,0.03,0.046
-3.99032e-02,0.034,0.022
-3.99024e-02,0.034,0.05
-3.99016e-02,0.038,0.014
-3.99008e-02,0.038,0.054
-3.99000e-02,0.034,0.022
-3.98992e-02,0.038,0.046
-3.98984e-02,0.038,0.026
-3.98976e-02,0.038,0.05
-3.98968e-02,0.046,0.022
-3.98960e-02,0.042,0.05
-3.98952e-02,0.046,0.026
-3.98944e-02,0.038,0.05
-3.98936e-02,0.034,0.022
-3.98928e-02,0.034,0.066
-3.98920e-02,0.03,0.022
-3.98912e-02,0.026,0.05
-3.98904e-02,0.042,0.026
-3.98896e-02,0.038,0.046
-3.98888e-02,0.034,0.026
-3.98880e-02,0.038,0.046
-3.98872e-02,0.038,0.026
-3.98864e-02,0.046,0.05
-3.98856e-02,0.034,0.018
-3.98848e-02,0.042,0.062
-3.98840e-02,0.042,0.026
-3.98832e-02,0.038,0.05
-3.98824e-02,0.038,0.026
-3.98816e-02,0.038,0.05
-3.98808e-02,0.038,0.026
-3.98800e-02,0.042,0.05
-3.98792e-02,0.03,0.026
-3.98784e-02,0.046,0.05
-3.98776e-02,0.042,0.014
-3.98768e-02,0.038,0.058
-3.98760e-02,0.042,0.026
-3.98752e-02,0.034,0.05
-3.98744e-02,0.042,0.022
-3.98736e-02,0.042,0.05
-3.98728e-02,0.042,0.026
-3.98720e-02,0.046,0.054
-3.98712e-02,0.042,0.03
-3.98704e-02,0.046,0.05
-3.98696e-02,0.042,0.022
-3.98688e-02,0.042,0.066
-3.98680e-02,0.042,0.03
-3.98672e-02,0.038,0.058
-3.98664e-02,0.042,0.03
-3.98656e-02,0.046,0.05
-3.98648e-02,0.042,0.03
-3.98640e-02,0.042,0.05
-3.98632e-02,0.046,0.03
-3.98624e-02,0.046,0.054
-3.98616e-02,0.042,0.018
-3.98608e-02,0.038,0.062
-3.98600e-02,0.042,0.03
-3.98592e-02,0.042,0.05
-3.98584e-02,0.046,0.026
-3.98576e-02,0.042,0.054
-3.98568e-02,0.038,0.03
-3.98560e-02,0.046,0.05
-3.98552e-02,0.046,0.026
-3.98544e-02,0.038,0.054
-3.98536e-02,0.042,0.022
-3.98528e-02,0.046,0.062
-3.98520e-02,0.042,0.03
-3.98512e-02,0.038,0.054
-3.98504e-02,0.05,0.034
-3.98496e-02,0.038,0.058
-3.98488e-02,0.038,0.03
-3.98480e-02,0.046,0.058
-3.98472e-02,0.054,0.034
-3.98464e-02,0.042,0.058
-3.98456e-02,0.042,0.026
-3.98448e-02,0.058,0.062
-3.98440e-02,0.042,0.03
-3.98432e-02,0.034,0.058
-3.98424e-02,0.042,0.034
-3.98416e-02,0.042,0.058
-3.98408e-02,0.042,0.03
-3.98400e-02,0.042,0.058
-3.98392e-02,0.042,0.034
-3.98384e-02,0.046,0.054
-3.98376e-02,0.05,0.022
-3.98368e-02,0.042,0.062
-3.98360e-02,0.054,0.034
-3.98352e-02,0.042,0.058
-3.98344e-02,0.046,0.034
-3.98336e-02,0.046,0.062
-3.98328e-02,0.046,0.034
-3.98320e-02,0.046,0.054
-3.98312e-02,0.05,0.034
-3.98304e-02,0.046,0.062
-3.98296e-02,0.05,0.026
-3.98288e-02,0.05,0.066
-3.98280e-02,0.046,0.034
-3.98272e-02,0.054,0.058
-3.98264e-02,0.05,0.038
-3.98256e-02,0.046,0.062
-3.98248e-02,0.046,0.038
-3.98240e-02,0.05,0.062
-3.98232e-02,0.046,0.038
-3.98224e-02,0.054,0.062
-3.98216e-02,0.05,0.03
-3.98208e-02,0.05,0.074
-3.98200e-02,0.054,0.034
-3.98192e-02,0.05,0.058
-3.98184e-02,0.046,0.038
-3.98176e-02,0.05,0.062
-3.98168e-02,0.05,0.038
-3.98160e-02,0.05,0.062
-3.98152e-02,0.054,0.034
-3.98144e-02,0.054,0.062
-3.98136e-02,0.054,0.022
-3.98128e-02,0.05,0.07
-3.98120e-02,0.05,0.038
-3.98112e-02,0.054,0.062
-3.98104e-02,0.05,0.038
-3.98096e-02,0.05,0.058
-3.98088e-02,0.054,0.038
-3.98080e-02,0.054,0.066
-3.98072e-02,0.054,0.038
-3.98064e-02,0.05,0.066
-3.98056e-02,0.054,0.03
-3.98048e-02,0.046,0.07
-3.98040e-02,0.05,0.038
-3.98032e-02,0.046,0.066
-3.98024e-02,0.046,0.038
-3.98016e-02,0.046,0.066
-3.98008e-02,0.05,0.034
-3.98000e-02,0.05,0.062
-3.97992e-02,0.046,0.042
-3.97984e-02,0.05,0.062
-3.97976e-02,0.05,0.03
-3.97968e-02,0.058,0.074
-3.97960e-02,0.058,0.038
-3.97952e-02,0.058,0.062
-3.97944e-02,0.058,0.042
-3.97936e-02,0.054,0.07
-3.97928e-02,0.054,0.042
-3.97920e-02,0.05,0.066
-3.97912e-02,0.05,0.042
-3.97904e-02,0.05,0.066
-3.97896e-02,0.058,0.034
-3.97888e-02,0.058,0.074
-3.97880e-02,0.054,0.038
-3.97872e-02,0.054,0.066
-3.97864e-02,0.05,0.042
-3.97856e-02,0.058,0.066
-3.97848e-02,0.058,0.042
-3.97840e-02,0.058,0.07
-3.97832e-02,0.058,0.042
-3.97824e-02,0.058,0.07
-3.97816e-02,0.054,0.038
-3.97808e-02,0.058,0.078
-3.97800e-02,0.058,0.042
-3.97792e-02,0.05,0.066
-3.97784e-02,0.058,0.046
-3.97776e-02,0.058,0.066
-3.97768e-02,0.054,0.046
-3.97760e-02,0.05,0.07
-3.97752e-02,0.058,0.042
-3.97744e-02,0.054,0.07
-3.97736e-02,0.05,0.034
-3.97728e-02,0.054,0.078
-3.97720e-02,0.046,0.042
-3.97712e-02,0.062,0.066
-3.97704e-02,0.054,0.046
-3.97696e-02,0.058,0.066
-3.97688e-02,0.058,0.046
-3.97680e-02,0.046,0.07
-3.97672e-02,0.058,0.042
-3.97664e-02,0.066,0.074
-3.97656e-02,0.07,0.038
-3.97648e-02,0.058,0.078
-3.97640e-02,0.054,0.046
-3.97632e-02,0.058,0.074
-3.97624e-02,0.054,0.046
-3.97616e-02,0.062,0.07
-3.97608e-02,0.054,0.05
-3.97600e-02,0.05,0.07
-3.97592e-02,0.058,0.042
-3.97584e-02,0.054,0.086
-3.97576e-02,0.058,0.042
-3.97568e-02,0.062,0.078
-3.97560e-02,0.054,0.05
-3.97552e-02,0.054,0.074
-3.97544e-02,0.062,0.046
-3.97536e-02,0.054,0.074
-3.97528e-02,0.058,0.046
-3.97520e-02,0.054,0.07
-3.97512e-02,0.062,0.042
-3.97504e-02,0.062,0.086
-3.97496e-02,0.058,0.046
-3.97488e-02,0.058,0.078
-3.97480e-02,0.062,0.054
-3.97472e-02,0.058,0.074
-3.97464e-02,0.066,0.046
-3.97456e-02,0.058,0.074
-3.97448e-02,0.07,0.05
-3.97440e-02,0.062,0.074
-3.97432e-02,0.07,0.042
-3.97424e-02,0.058,0.086
-3.97416e-02,0.066,0.05
-3.97408e-02,0.058,0.078
-3.97400e-02,0.066,0.05
-3.97392e-02,0.066,0.074
-3.97384e-02,0.066,0.05
-3.97376e-02,0.066,0.074
-3.97368e-02,0.066,0.054
-3.97360e-02,0.062,0.078
-3.97352e-02,0.062,0.046
-3.97344e-02,0.07,0.086
-3.97336e-02,0.07,0.05
-3.97328e-02,0.066,0.078
-3.97320e-02,0.066,0.054
-3.97312e-02,0.066,0.082
-3.97304e-02,0.074,0.054
-3.97296e-02,0.066,0.078
-3.97288e-02,0.07,0.05
-3.97280e-02,0.074,0.078
-3.97272e-02,0.074,0.046
-3.97264e-02,0.074,0.09
-3.97256e-02,0.066,0.054
-3.97248e-02,0.074,0.082
-3.97240e-02,0.07,0.054
-3.97232e-02,0.074,0.078
-3.97224e-02,0.062,0.054
-3.97216e-02,0.074,0.082
-3.97208e-02,0.074,0.054
-3.97200e-02,0.078,0.078
-3.97192e-02,0.07,0.05
-3.97184e-02,0.07,0.094
-3.97176e-02,0.066,0.054
-3.97168e-02,0.07,0.082
-3.97160e-02,0.062,0.05
-3.97152e-02,0.07,0.078
-3.97144e-02,0.07,0.054
-3.97136e-02,0.062,0.082
-3.97128e-02,0.066,0.05
-3.97120e-02,0.074,0.078
-3.97112e-02,0.078,0.046
-3.97104e-02,0.07,0.086
-3.97096e-02,0.07,0.062
-3.97088e-02,0.074,0.082
-3.97080e-02,0.074,0.062
-3.97072e-02,0.066,0.09
-3.97064e-02,0.066,0.058
-3.97056e-02,0.074,0.086
-3.97048e-02,0.074,0.062
-3.97040e-02,0.078,0.086
-3.97032e-02,0.074,0.054
-3.97024e-02,0.066,0.09
-3.97016e-02,0.074,0.058
-3.97008e-02,0.07,0.082
-3.97000e-02,0.066,0.062
-3.96992e-02,0.078,0.086
-3.96984e-02,0.07,0.054
-3.96976e-02,0.082,0.086
-3.96968e-02,0.082,0.054
-3.96960e-02,0.074,0.086
-3.96952e-02,0.066,0.054
-3.96944e-02,0.074,0.098
-3.96936e-02,0.07,0.058
-3.96928e-02,0.082,0.086
-3.96920e-02,0.074,0.062
-3.96912e-02,0.082,0.086
-3.96904e-02,0.066,0.062
-3.96896e-02,0.074,0.09
-3.96888e-02,0.086,0.066
-3.96880e-02,0.078,0.09
-3.96872e-02,0.078,0.058
-3.96864e-02,0.078,0.094
-3.96856e-02,0.082,0.066
-3.96848e-02,0.078,0.09
-3.96840e-02,0.074,0.066
-3.96832e-02,0.07,0.09
-3.96824e-02,0.082,0.062
-3.96816e-02,0.07,0.09
-3.96808e-02,0.094,0.066
-3.96800e-02,0.086,0.09
-3.96792e-02,0.078,0.058
-3.96784e-02,0.082,0.098
-3.96776e-02,0.082,0.066
-3.96768e-02,0.078,0.09
-3.96760e-02,0.086,0.066
-3.96752e-02,0.074,0.094
-3.96744e-02,0.082,0.062
-3.96736e-02,0.078,0.09
-3.96728e-02,0.086,0.066
-3.96720e-02,0.082,0.09
-3.96712e-02,0.082,0.054
-3.96704e-02,0.074,0.106
-3.96696e-02,0.074,0.062
-3.96688e-02,0.082,0.094
-3.96680e-02,0.086,0.07
-3.96672e-02,0.082,0.094
-3.96664e-02,0.086,0.066
-3.96656e-02,0.086,0.098
-3.96648e-02,0.082,0.066
-3.96640e-02,0.082,0.094
-3.96632e-02,0.082,0.058
-3.96624e-02,0.086,0.102
-3.96616e-02,0.086,0.07
-3.96608e-02,0.082,0.094
-3.96600e-02,0.086,0.07
-3.96592e-02,0.086,0.094
-3.96584e-02,0.086,0.07
-3.96576e-02,0.086,0.098
-3.96568e-02,0.082,0.07
-3.96560e-02,0.082,0.098
-3.96552e-02,0.082,0.062
-3.96544e-02,0.086,0.102
-3.96536e-02,0.086,0.066
-3.96528e-02,0.078,0.098
-3.96520e-02,0.09,0.07
-3.96512e-02,0.086,0.098
-3.96504e-02,0.082,0.074
-3.96496e-02,0.082,0.098
-3.96488e-02,0.09,0.07
-3.96480e-02,0.082,0.098
-3.96472e-02,0.09,0.066
-3.96464e-02,0.09,0.11
-3.96456e-02,0.082,0.074
-3.96448e-02,0.086,0.098
-3.96440e-02,0.082,0.07
-3.96432e-02,0.094,0.098
-3.96424e-02,0.086,0.074
-3.96416e-02,0.09,0.098
-3.96408e-02,0.086,0.074
-3.96400e-02,0.09,0.098
-3.96392e-02,0.086,0.062
-3.96384e-02,0.086,0.11
-3.96376e-02,0.078,0.074
-3.96368e-02,0.09,0.102
-3.96360e-02,0.09,0.074
-3.96352e-02,0.09,0.098
-3.96344e-02,0.098,0.074
-3.96336e-02,0.086,0.098
-3.96328e-02,0.082,0.074
-3.96320e-02,0.09,0.098
-3.96312e-02,0.09,0.066
