Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.535120e-03,0.06,0.02
1.535200e-03,0.02,0.06
1.535280e-03,0.02,0.02
1.535360e-03,0.06,0.06
1.535440e-03,0.06,0.02
1.535520e-03,0.02,0.06
1.535600e-03,0.02,0.02
1.535680e-03,0.06,0.06
1.535760e-03,0.02,0.02
1.535840e-03,0.02,0.06
1.535920e-03,0.06,0.02
1.536000e-03,0.06,0.06
1.536080e-03,0.02,0.02
1.536160e-03,0.02,0.06
1.536240e-03,0.06,0.02
1.536320e-03,0.06,0.06
1.536400e-03,0.02,0.02
1.536480e-03,0.06,0.06
1.536560e-03,0.06,0.02
1.536640e-03,0.06,0.06
1.536720e-03,0.06,0.02
1.536800e-03,0.02,0.06
1.536880e-03,0.06,0.02
1.536960e-03,0.06,0.1
1.537040e-03,0.06,0.02
1.537120e-03,0.06,0.06
1.537200e-03,0.06,0.02
1.537280e-03,0.02,0.06
1.537360e-03,0.06,0.02
1.537440e-03,0.02,0.06
1.537520e-03,0.02,0.02
1.537600e-03,0.06,0.06
1.537680e-03,0.02,0.02
1.537760e-03,0.06,0.06
1.537840e-03,0.02,0.02
1.537920e-03,0.06,0.06
1.538000e-03,0.06,0.02
1.538080e-03,0.02,0.06
1.538160e-03,0.06,0.02
1.538240e-03,0.06,0.06
1.538320e-03,0.02,0.02
1.538400e-03,0.06,0.06
1.538480e-03,0.06,0.02
1.538560e-03,0.06,0.06
1.538640e-03,0.06,0.02
1.538720e-03,0.06,0.1
1.538800e-03,0.06,0.02
1.538880e-03,0.02,0.06
1.538960e-03,0.06,0.02
1.539040e-03,0.06,0.06
1.539120e-03,0.02,0.02
1.539200e-03,0.02,0.1
1.539280e-03,0.06,0.02
1.539360e-03,0.06,0.06
1.539440e-03,0.06,0.02
1.539520e-03,0.06,0.06
1.539600e-03,0.02,0.02
1.539680e-03,0.06,0.06
1.539760e-03,0.06,0.02
1.539840e-03,0.06,0.06
1.539920e-03,0.06,0.02
1.540000e-03,0.06,0.06
1.540080e-03,0.02,0.02
1.540160e-03,0.02,0.06
1.540240e-03,0.06,0.02
1.540320e-03,0.02,0.06
1.540400e-03,0.06,0.02
1.540480e-03,0.06,0.06
1.540560e-03,0.02,0.02
1.540640e-03,0.06,0.06
1.540720e-03,0.06,0.02
1.540800e-03,0.06,0.06
1.540880e-03,0.02,0.02
1.540960e-03,0.06,0.06
1.541040e-03,0.02,0.02
1.541120e-03,0.06,0.1
1.541200e-03,0.06,0.02
1.541280e-03,0.02,0.1
1.541360e-03,0.06,0.02
1.541440e-03,0.02,0.06
1.541520e-03,0.06,0.02
1.541600e-03,0.06,0.06
1.541680e-03,0.06,0.02
1.541760e-03,0.06,0.1
1.541840e-03,0.06,0.02
1.541920e-03,0.06,0.06
1.542000e-03,0.06,0.02
1.542080e-03,0.06,0.06
1.542160e-03,0.06,0.02
1.542240e-03,0.06,0.06
1.542320e-03,0.06,0.02
1.542400e-03,0.06,0.06
1.542480e-03,0.02,0.02
1.542560e-03,0.06,0.06
1.542640e-03,0.06,0.02
1.542720e-03,0.06,0.06
1.542800e-03,0.02,0.02
1.542880e-03,0.06,0.06
1.542960e-03,0.06,0.02
1.543040e-03,0.06,0.06
1.543120e-03,0.06,0.02
1.543200e-03,0.02,0.1
1.543280e-03,0.06,0.02
1.543360e-03,0.02,0.06
1.543440e-03,0.06,0.02
1.543520e-03,0.06,0.06
1.543600e-03,0.06,0.02
1.543680e-03,0.06,0.06
1.543760e-03,0.06,0.02
1.543840e-03,0.06,0.06
1.543920e-03,0.06,0.02
1.544000e-03,0.06,0.06
1.544080e-03,0.06,0.02
1.544160e-03,0.02,0.06
1.544240e-03,0.06,0.02
1.544320e-03,0.06,0.06
1.544400e-03,0.06,0.02
1.544480e-03,0.02,0.06
1.544560e-03,0.02,0.02
1.544640e-03,0.02,0.06
1.544720e-03,0.06,0.02
1.544800e-03,0.02,0.06
1.544880e-03,0.06,0.02
1.544960e-03,0.06,0.06
1.545040e-03,0.02,0.02
1.545120e-03,0.06,0.1
1.545200e-03,0.06,0.02
1.545280e-03,0.06,0.1
1.545360e-03,0.02,0.02
1.545440e-03,0.02,0.06
1.545520e-03,0.06,0.02
1.545600e-03,0.06,0.06
1.545680e-03,0.06,0.02
1.545760e-03,0.06,0.1
1.545840e-03,0.06,0.02
1.545920e-03,0.02,0.06
1.546000e-03,0.02,0.02
1.546080e-03,0.06,0.06
1.546160e-03,0.02,0.02
1.546240e-03,0.06,0.06
1.546320e-03,0.02,0.02
1.546400e-03,0.06,0.06
1.546480e-03,0.06,0.02
1.546560e-03,0.06,0.06
1.546640e-03,0.06,0.02
1.546720e-03,0.06,0.06
1.546800e-03,0.06,0.02
1.546880e-03,0.06,0.1
1.546960e-03,0.02,0.02
1.547040e-03,0.02,0.06
1.547120e-03,0.02,0.02
1.547200e-03,0.02,0.06
1.547280e-03,0.02,0.02
1.547360e-03,0.06,0.06
1.547440e-03,0.06,0.02
1.547520e-03,0.06,0.06
1.547600e-03,0.02,0.02
1.547680e-03,0.06,0.06
1.547760e-03,0.02,0.02
1.547840e-03,0.06,0.06
1.547920e-03,0.02,0.02
1.548000e-03,0.06,0.06
1.548080e-03,0.06,0.02
1.548160e-03,0.06,0.06
1.548240e-03,0.06,0.02
1.548320e-03,0.06,0.1
1.548400e-03,0.06,0.02
1.548480e-03,0.06,0.06
1.548560e-03,0.06,0.02
1.548640e-03,0.02,0.1
1.548720e-03,0.02,0.02
1.548800e-03,0.02,0.06
1.548880e-03,0.02,0.02
